expiry,strike,cp,bid,ask,oi,ib_iv,ib_delta,ib_gamma,ib_vega,ib_theta
2026-04-29,430,1,72.59,73.23,18828,0.2358973342,0.9539292403,0.001979279973,0.1854835508,-0.07054706456
2026-04-29,430,-1,0.84,0.92,16343,0.2360059879,-0.04407620084,0.001980871437,0.185718193,-0.03574440425
2026-04-29,440,1,63.14,63.69,16791,0.2263671176,0.9335776378,0.002787430216,0.2506642982,-0.08202131415
2026-04-29,440,-1,1.28,1.35,11004,0.2264974266,-0.06446211761,0.002789301992,0.2509770133,-0.04601700871
2026-04-29,450,1,53.89,54.36,19646,0.2169573197,0.9047594277,0.003851050617,0.3319163695,-0.09506678159
2026-04-29,450,-1,1.92,1.98,19619,0.2169428639,-0.09316326085,0.003850889196,0.3318803423,-0.05774388552
2026-04-29,460,1,44.94,45.33,2745,0.2078272451,0.8645552862,0.005194905555,0.4288992383,-0.1091759207
2026-04-29,460,-1,2.86,2.92,4129,0.207845244,-0.1334002206,0.005194967857,0.4289415273,-0.07065244567
2026-04-29,470,1,36.4,36.72,6201,0.1988261524,0.8101042905,0.006794057885,0.5366336338,-0.1229840242
2026-04-29,470,-1,4.21,4.27,11096,0.1987706864,-0.1877715975,0.006794603095,0.5365269824,-0.08318224256
2026-04-29,480,1,28.45,28.69,16486,0.1902496795,0.73843937,0.008536986277,0.6452138109,-0.1346680651
2026-04-29,480,-1,6.15,6.22,9698,0.1903004448,-0.259546009,0.00853553981,0.6452766252,-0.09371909677
2026-04-29,490,1,21.28,21.46,19676,0.1823369302,0.6482634801,0.01017510909,0.7370362536,-0.1416348958
2026-04-29,490,-1,8.87,8.95,7097,0.182330518,-0.3496688469,0.01017542409,0.7370331504,-0.09942151953
2026-04-29,500,1,15.12,15.24,18570,0.1753740863,0.5417592759,0.01132378461,0.7889185341,-0.1411491442
2026-04-29,500,-1,12.6,12.7,11852,0.175383963,-0.456177945,0.0113231495,0.7889187149,-0.09772261327
2026-04-29,510,1,10.13,10.22,14429,0.1695888362,0.4261619925,0.01158067285,0.7802004394,-0.1314897979
2026-04-29,510,-1,17.5,17.65,4744,0.1696148677,-0.5717592761,0.0115789777,0.7802059775,-0.08685129341
2026-04-29,520,1,6.39,6.45,11860,0.1651708727,0.3130024424,0.01074858813,0.7052774898,-0.1133526813
2026-04-29,520,-1,23.65,23.85,16053,0.165217417,-0.6848789693,0.0107463704,0.7053306746,-0.06750923306
2026-04-29,530,1,3.79,3.85,17739,0.1621037136,0.2141082588,0.009013853377,0.5804684119,-0.09003192341
2026-04-29,530,-1,30.94,31.21,17353,0.1620956955,-0.7838404418,0.009013997666,0.5804489918,-0.04291929546
2026-04-29,540,1,2.13,2.18,19348,0.1602288991,0.1368295721,0.006857048911,0.4364688294,-0.06602104787
2026-04-29,540,-1,39.17,39.51,2618,0.1602469147,-0.8610783139,0.006857253354,0.4365309192,-0.01770804446
2026-04-29,550,1,1.13,1.19,15585,0.1592894304,0.08221834233,0.004777827767,0.3023378966,-0.04497765677
2026-04-29,550,-1,48.06,48.48,9368,0.1591914055,-0.9158536386,0.004774830857,0.3019623154,0.004658617296
2026-04-29,560,1,0.57,0.63,13729,0.1590624576,0.04682805678,0.00308574962,0.1949860359,-0.02871579694
2026-04-29,560,-1,57.39,57.89,5579,0.158974687,-0.9512021629,0.003082489895,0.1946725769,0.02212351387
2026-04-29,570,1,0.26,0.34,340,0.1593455049,0.02547646637,0.001868938356,0.118306861,-0.01733122695
2026-04-29,570,-1,66.98,67.57,1708,0.1597276003,-0.9721725093,0.001882058569,0.1194230721,0.03446585524
2026-04-29,580,1,0.11,0.19,19454,0.1606042551,0.01363393332,0.001089348186,0.06950225573,-0.01020188114
2026-04-29,580,-1,76.71,77.38,17924,0.1599932219,-0.9846019752,0.001072739126,0.06818217369,0.04325529381
2026-06-03,420,1,84.4,85.15,6103,0.2417289979,0.9371254025,0.001940128068,0.2987371567,-0.069452184
2026-06-03,420,-1,0,1.69,8627,0.2418858712,-0.05967796195,0.001941679431,0.2991700571,-0.03608709084
2026-06-03,430,1,75.15,75.82,4856,0.2338921042,0.9170328629,0.00250832309,0.3737051903,-0.07788517685
2026-06-03,430,-1,2.2,2.28,2996,0.2339908745,-0.07974078913,0.002509179916,0.3739907114,-0.04327695844
2026-06-03,440,1,66.1,66.68,17157,0.2260407694,0.8911889254,0.003195466412,0.4600988276,-0.08679531354
2026-06-03,440,-1,2.99,3.07,13483,0.226099338,-0.1055578222,0.003195811514,0.4602677445,-0.05094883343
2026-06-03,450,1,57.31,57.81,1579,0.2184272254,0.8581207212,0.004005164489,0.5572591637,-0.09596098071
2026-06-03,450,-1,4.04,4.12,4084,0.2183679618,-0.1385140472,0.004005102298,0.5570993176,-0.05882978416
2026-06-03,460,1,48.84,49.27,11296,0.210803186,0.8167831139,0.004924358439,0.6612366553,-0.1046976015
2026-06-03,460,-1,5.43,5.5,18033,0.2108137822,-0.1799206647,0.004924293374,0.6612611555,-0.0663871304
2026-06-03,470,1,40.81,41.16,19919,0.2035293332,0.7656826814,0.005917063976,0.7671201095,-0.1124528639
2026-06-03,470,-1,7.24,7.32,4382,0.2035254667,-0.2310068302,0.005917124452,0.7671133766,-0.07291544434
2026-06-03,480,1,33.31,33.6,12249,0.1965999769,0.7041447477,0.006914582363,0.8659234668,-0.1182691986
2026-06-03,480,-1,0,9.68,709,0.1965850345,-0.2925368271,0.006914981213,0.8659075978,-0.07750712608
2026-06-03,490,1,26.48,26.7,3532,0.1901609859,0.6322563561,0.007810469981,0.9460817841,-0.1211617757
2026-06-03,490,-1,12.61,12.71,4055,0.1901896179,-0.364450757,0.00780939404,0.9460938847,-0.07920370309
2026-06-03,500,1,20.44,20.6,8868,0.1844249879,0.5515204075,0.008466034693,0.994557508,-0.1202599527
2026-06-03,500,-1,16.41,16.54,6947,0.1844421972,-0.4451742522,0.008465249122,0.9945580187,-0.07707717912
2026-06-03,510,1,0,15.41,14553,0.1794728806,0.465265957,0.008747847098,1.000069333,-0.1150014731
2026-06-03,510,-1,21.09,21.27,9404,0.1794800229,-0.531424452,0.008747504024,1.000069909,-0.0705948305
2026-06-03,520,1,11.05,11.16,6813,0.1754539772,0.378354323,0.008567283768,0.9574948839,-0.105536869
2026-06-03,520,-1,26.71,26.94,18127,0.175398801,-0.6183859742,0.00856965233,0.9574584051,-0.05987421776
2026-06-03,530,1,7.75,7.83,12525,0.1723431787,0.2961784704,0.00793267646,0.8708511572,-0.09271375305
2026-06-03,530,-1,33.26,33.55,13962,0.1723858906,-0.7004617085,0.00793135933,0.8709223501,-0.04589399865
2026-06-03,540,1,5.28,5.35,14930,0.1701960638,0.2234929256,0.006945473045,0.7529765213,-0.07804148266
2026-06-03,540,-1,40.63,40.99,6819,0.1701658147,-0.7732449769,0.006945917799,0.7528909026,-0.02995268778
2026-06-03,550,1,3.5,3.57,17831,0.1688016663,0.1629314934,0.005772435688,0.6206773899,-0.06303507819
2026-06-03,550,-1,48.7,49.13,386,0.1687488954,-0.8338435849,0.005772354797,0.6204746585,-0.01371003132
2026-06-03,560,1,2.27,2.34,6170,0.1681402439,0.1153136835,0.004578455153,0.490366429,-0.04909880324
2026-06-03,560,-1,57.32,57.83,3238,0.1681550866,-0.8813574857,0.004578670861,0.4904328218,0.001395086017
2026-06-03,570,1,1.44,1.51,130,0.1679454398,0.07944253767,0.003486034771,0.3729323203,-0.03697383348
2026-06-03,570,-1,66.34,66.92,19928,0.1679382159,-0.9172600949,0.003485869957,0.3728986485,0.01475453764
2026-06-03,580,1,0.89,0.97,1841,0.1681525012,0.05350880529,0.002563038551,0.2745292117,-0.02704962941
2026-06-03,580,-1,75.64,76.31,9221,0.1682883419,-0.9430353565,0.002566615262,0.2751344019,0.02581181577
